enumeration,move
0,1
1,2
2,10
3,11
4,12
5,13
6,14
7,15
8,16
9,20
10,21
11,22
12,23
13,24
14,25
15,26
16,100
17,101
18,102
19,103
20,104
21,105
22,106
23,110
24,111
25,112
26,113
27,114
28,115
29,116
30,120
31,121
32,122
33,123
34,124
35,125
36,126
37,130
38,131
39,132
40,133
41,134
42,135
43,136
44,10101
45,10102
46,10103
47,10104
48,10105
49,10106
50,10107
51,10108
52,10109
53,10110
54,10111
55,10112
56,10201
57,10202
58,10203
59,10204
60,10205
61,10206
62,10207
63,10208
64,10209
65,10210
66,10211
67,10212
68,10301
69,10302
70,10303
71,10304
72,10305
73,10306
74,10307
75,10308
76,10309
77,10310
78,10311
79,10312
80,10401
81,10402
82,10403
83,10404
84,10405
85,10406
86,10407
87,10408
88,10409
89,10410
90,10411
91,10412
92,10501
93,10502
94,10503
95,10504
96,10505
97,10506
98,10507
99,10508
100,10509
101,10510
102,10511
103,10512
104,10601
105,10602
106,10603
107,10604
108,10605
109,10606
110,10607
111,10608
112,10609
113,10610
114,10611
115,10612
116,11001
117,11002
118,11003
119,11004
120,11005
121,11006
122,11007
123,11008
124,11009
125,11010
126,11011
127,11012
128,11201
129,11202
130,11203
131,11204
132,11205
133,11206
134,11207
135,11208
136,11209
137,11210
138,11211
139,11212
140,11301
141,11302
142,11303
143,11304
144,11305
145,11306
146,11307
147,11308
148,11309
149,11310
150,11311
151,11312
152,11401
153,11402
154,11403
155,11404
156,11405
157,11406
158,11407
159,11408
160,11409
161,11410
162,11411
163,11412
164,11501
165,11502
166,11503
167,11504
168,11505
169,11506
170,11507
171,11508
172,11509
173,11510
174,11511
175,11512
176,11601
177,11602
178,11603
179,11604
180,11605
181,11606
182,11607
183,11608
184,11609
185,11610
186,11611
187,11612
188,12001
189,12002
190,12003
191,12004
192,12005
193,12006
194,12007
195,12008
196,12009
197,12010
198,12011
199,12012
200,12101
201,12102
202,12103
203,12104
204,12105
205,12106
206,12107
207,12108
208,12109
209,12110
210,12111
211,12112
212,12301
213,12302
214,12303
215,12304
216,12305
217,12306
218,12307
219,12308
220,12309
221,12310
222,12311
223,12312
224,12401
225,12402
226,12403
227,12404
228,12405
229,12406
230,12407
231,12408
232,12409
233,12410
234,12411
235,12412
236,12501
237,12502
238,12503
239,12504
240,12505
241,12506
242,12507
243,12508
244,12509
245,12510
246,12511
247,12512
248,12601
249,12602
250,12603
251,12604
252,12605
253,12606
254,12607
255,12608
256,12609
257,12610
258,12611
259,12612
260,13001
261,13002
262,13003
263,13004
264,13005
265,13006
266,13007
267,13008
268,13009
269,13010
270,13011
271,13012
272,13101
273,13102
274,13103
275,13104
276,13105
277,13106
278,13107
279,13108
280,13109
281,13110
282,13111
283,13112
284,13201
285,13202
286,13203
287,13204
288,13205
289,13206
290,13207
291,13208
292,13209
293,13210
294,13211
295,13212
296,13401
297,13402
298,13403
299,13404
300,13405
301,13406
302,13407
303,13408
304,13409
305,13410
306,13411
307,13412
308,13501
309,13502
310,13503
311,13504
312,13505
313,13506
314,13507
315,13508
316,13509
317,13510
318,13511
319,13512
320,13601
321,13602
322,13603
323,13604
324,13605
325,13606
326,13607
327,13608
328,13609
329,13610
330,13611
331,13612
332,14001
333,14002
334,14003
335,14004
336,14005
337,14006
338,14007
339,14008
340,14009
341,14010
342,14011
343,14012
344,14101
345,14102
346,14103
347,14104
348,14105
349,14106
350,14107
351,14108
352,14109
353,14110
354,14111
355,14112
356,14201
357,14202
358,14203
359,14204
360,14205
361,14206
362,14207
363,14208
364,14209
365,14210
366,14211
367,14212
368,14301
369,14302
370,14303
371,14304
372,14305
373,14306
374,14307
375,14308
376,14309
377,14310
378,14311
379,14312
380,14501
381,14502
382,14503
383,14504
384,14505
385,14506
386,14507
387,14508
388,14509
389,14510
390,14511
391,14512
392,14601
393,14602
394,14603
395,14604
396,14605
397,14606
398,14607
399,14608
400,14609
401,14610
402,14611
403,14612
404,15001
405,15002
406,15003
407,15004
408,15005
409,15006
410,15007
411,15008
412,15009
413,15010
414,15011
415,15012
416,15101
417,15102
418,15103
419,15104
420,15105
421,15106
422,15107
423,15108
424,15109
425,15110
426,15111
427,15112
428,15201
429,15202
430,15203
431,15204
432,15205
433,15206
434,15207
435,15208
436,15209
437,15210
438,15211
439,15212
440,15301
441,15302
442,15303
443,15304
444,15305
445,15306
446,15307
447,15308
448,15309
449,15310
450,15311
451,15312
452,15401
453,15402
454,15403
455,15404
456,15405
457,15406
458,15407
459,15408
460,15409
461,15410
462,15411
463,15412
464,15601
465,15602
466,15603
467,15604
468,15605
469,15606
470,15607
471,15608
472,15609
473,15610
474,15611
475,15612
476,16001
477,16002
478,16003
479,16004
480,16005
481,16006
482,16007
483,16008
484,16009
485,16010
486,16011
487,16012
488,16101
489,16102
490,16103
491,16104
492,16105
493,16106
494,16107
495,16108
496,16109
497,16110
498,16111
499,16112
500,16201
501,16202
502,16203
503,16204
504,16205
505,16206
506,16207
507,16208
508,16209
509,16210
510,16211
511,16212
512,16301
513,16302
514,16303
515,16304
516,16305
517,16306
518,16307
519,16308
520,16309
521,16310
522,16311
523,16312
524,16401
525,16402
526,16403
527,16404
528,16405
529,16406
530,16407
531,16408
532,16409
533,16410
534,16411
535,16412
536,16501
537,16502
538,16503
539,16504
540,16505
541,16506
542,16507
543,16508
544,16509
545,16510
546,16511
547,16512
